Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
portland,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:10:49
