Location,Bad signal ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
concord,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
lexington,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
atlanta,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
norcross,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
houston,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
grayson,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
dallas,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
blairsville,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
chicago,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:53:32
