Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
houston,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
new-york,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
el-centro,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
brooklyn,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
chicago,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
pompano-beach,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
salt-lake-city,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
dallas,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
seattle,23%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:15:02
