Location,Reports,Status,E-mail,TV,Date/Time collected,Provider,Source,Phone,Internet,Wi-fi,Total Blackout
"Kinston, NC",15, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Greenville, NC",15, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Altoona, PA",14, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Detroit, MI",14, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"San Angelo, TX",14, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Midland, TX",13, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Plano, TX",13, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Flagstaff, AZ",13, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Concord, CA",12, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"Jonesboro, AR",12, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
"New Bern, NC",12, Problems detected ,3.95%,14.94%,Thu 21 Mar 2019 13:37:59,Suddenlink,Is the service down,2.90%,61.51%,6.94%,9.75%
