Location,Bad signal ,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
evington,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
bethel,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
cumberland,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
bedford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
johnstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
bradford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
randallstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
bowie,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
lexington-park,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:51:59
