Date/Time,How long ago,Issue,Location,Provider,Reports in last 20 minutes,Source,Website down ,Internet speed issues ,Internet down ,Everything is down ,Cell service down 
Thu 21 Mar 2019 17:37:59,4h,Internet down,"Clarkston, MI",AT&T,2,Outage Report,7%,7%,40%,20%,27%
Thu 21 Mar 2019 17:37:59,2h,Internet down,TX,AT&T,2,Outage Report,7%,7%,40%,20%,27%
Thu 21 Mar 2019 17:37:59,1h,Internet speed issues,"Littleton, CO",AT&T,2,Outage Report,7%,7%,40%,20%,27%
Thu 21 Mar 2019 17:37:59,20m,Internet down,"Sheboygan, WI",AT&T,2,Outage Report,7%,7%,40%,20%,27%
Thu 21 Mar 2019 17:37:59,13m,Cell service down,"Temple, TX",AT&T,2,Outage Report,7%,7%,40%,20%,27%
Thu 21 Mar 2019 17:37:59,9m,Cell service down,"Goldthwaite, TX",AT&T,2,Outage Report,7%,7%,40%,20%,27%
