Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:28:14
