Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:28:14
