Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
minneapolis,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
phoenix,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
seattle,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
portland,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
albuquerque,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
dallas,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
boise,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
des-moines,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
saint-paul,2%,8%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:15:02
