Location,Bad signal ,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
evington,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
bethel,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
cumberland,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
bedford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
johnstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
bradford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
randallstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
bowie,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
lexington-park,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:32
