Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
minneapolis,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
phoenix,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
seattle,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
portland,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
albuquerque,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
dallas,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
boise,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
des-moines,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
saint-paul,2%,9%,87%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,13:28:14
