Location,Bad signal ,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
evington,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
bethel,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
cumberland,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
bedford,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
johnstown,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
bradford,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
randallstown,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
bowie,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
miami-beach,,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,19:12:30
