Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
burnsville,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
preston,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
madison,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
cedar-rapids,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
marion,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
bedford,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
monticello,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
waterloo,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
spruce-pine,,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:53:51
