Location,Bad signal ,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
minneapolis,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
phoenix,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
seattle,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
portland,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
dallas,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
albuquerque,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
boise,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
des-moines,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
salt-lake-city,,4%,9%,85%,No problems,CenturyLink,Down detector,Thu 21 Mar 2019,19:12:30
