Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"St. Louis, MO",6, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Philadelphia, PA",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Downey, CA",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Louisville, KY",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Manhattan, NY",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Hampstead, MD",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Waukesha, WI",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Newport Beach, CA",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Stockton, CA",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Salt Lake City, UT",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
"Bothell, WA",5, Problems detected ,.65%,76.22%,Thu 21 Mar 2019 19:12:30,DirecTV,Is the service down,2.61%,6.84%,1.63%,12.05%
