Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
new-york,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
dallas,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
houston,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
san-marcos,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
kansas-city,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
los-angeles,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
brooklyn,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
saint-louis,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
grand-junction,40%,9%,50%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:33:10
