Location,Reports,Status,Phone,Source,Date/Time collected,Provider,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",35, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Miami, FL",29, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Atlanta, GA",17, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Dallas, TX",17, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Tampa, FL",16, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Brooklyn, NY",15, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Orlando, FL",15, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Denver, CO",15, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Toccoa, GA",14, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Houston, TX",14, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Sacramento, CA",13, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Boca Raton, FL",11, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Pahrump, NV",11, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Johnstown, PA",10, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Philadelphia, PA",9, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Detroit, MI",9, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Hialeah, FL",8, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Stone Mountain, GA",7, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Chicago, IL",7, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Jacksonville, FL",7, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Charlotte, NC",7, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Fort Lauderdale, FL",6, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"El Centro, CA",6, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"New York City, NY",6, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"San Francisco, CA",6, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
"Plano, TX",6, Some problems detected ,50.53%,Is the service down,Thu 21 Mar 2019 13:36:47,MetroPCS,4.27%,31.67%,2.85%,10.68%
