Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
new-york,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
philadelphia,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
marco-island,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
brooklyn,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
charlotte,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
sumter,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
atlanta,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
tampa,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
indianapolis,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:08
