Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:36:46
