Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
new-york,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
philadelphia,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
marco-island,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
brooklyn,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
charlotte,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
sumter,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
atlanta,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
tampa,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
indianapolis,51%,9%,38%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,13:10:49
