Location,Bad signal ,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
houston,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
new-york,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
el-centro,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
brooklyn,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
chicago,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
pompano-beach,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
salt-lake-city,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
dallas,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
seattle,,24%,27%,48%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:55:48
