Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:10:49
