Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
denver,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
minneapolis,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
phoenix,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
seattle,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
portland,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
albuquerque,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
dallas,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
boise,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
des-moines,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
saint-paul,2%,9%,88%,Possible problems,CenturyLink,Down detector,Thu 21 Mar 2019,11:54:55
