Location,internet ,Status,Provider,Source,Date collected,Time collected
huntsville,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
charlotte,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
atlanta,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
madison,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
kansas-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
orlando,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
phenix-city,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
saint-louis,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
houston,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
dayton,100%,No problems,Google-Fiber,Down detector,Thu 21 Mar 2019,13:12:11
