Location,Bad signal ,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
evington,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
bethel,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
cumberland,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
bedford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
johnstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
bradford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
randallstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
bowie,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
lexington-park,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:05
