Location,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
new-york,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
philadelphia,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
marco-island,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
brooklyn,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
charlotte,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
sumter,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
atlanta,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
tampa,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
indianapolis,51%,9%,38%,No problems,Verizon,Down detector,Thu 21 Mar 2019,13:12:16
