Date,Time reported(PT),Ping Time(ms.),Time collected,date collected,Source,Provider
20.Mar.2019,13:34,6.12,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,17:51,5.12,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,23:07,10.35,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,03:50,5.14,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,11:17,5.34,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,15:47,5.55,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
20.Mar.2019,20:52,6.37,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,01:20,5.48,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,06:05,6.04,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
21.Mar.2019,15:10,5.0,13:36:47,Thu 21 Mar 2019,Is it down right now?,Comcast
