Location,Bad signal ,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
evington,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
bethel,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
cumberland,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
bedford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
johnstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
bradford,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
randallstown,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
bowie,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
lexington-park,,12%,87%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:53:51
