Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:13:25
