Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:33:10
