Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
houston,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
brooklyn,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
phoenix,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
dayton,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
tampa,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
sumter,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
greenville,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
garland,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
tempe,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:12:11
