Location,Bad signal ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
concord,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
lexington,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
atlanta,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
norcross,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
houston,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
grayson,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
dallas,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
blairsville,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
chicago,,13%,86%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:51:59
