Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
houston,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
brooklyn,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
phoenix,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
dayton,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
tampa,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
sumter,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
greenville,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
garland,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
tempe,64%,23%,11%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,11:54:55
