Location,Bad signal ,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
houston,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
los-angeles,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
new-york,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
el-centro,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
brooklyn,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
chicago,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
pompano-beach,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
salt-lake-city,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
dallas,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
seattle,,24%,22%,53%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,19:12:30
