Location,Bad signal ,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
tucson,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
seattle,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
portland,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
albuquerque,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
lincoln,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
dallas,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
phoenix,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
colorado-springs,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
irving,,66%,33%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:53:32
