Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:27:17
