Location,Bad signal ,Status,Provider,Source,Date collected,Time collected
san-francisco,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
toledo,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
coalville,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
san-marcos,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
riverside,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
san-diego,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
petaluma,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
littleton,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
urbana,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
milwaukee,,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:53:05
