Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
houston,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
brooklyn,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
phoenix,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
dayton,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
tampa,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
sumter,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
greenville,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
garland,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
tempe,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:13:25
