Location,Bad signal ,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
albuquerque,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
chicago,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
seattle,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
phoenix,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
spokane,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
portland,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
minneapolis,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
kennewick,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
boise,,7%,81%,11%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,19:12:30
