Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:33:10
