Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:12:11
