Location,Status,Provider,Source,Date collected,Time collected
san-francisco,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
toledo,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
coalville,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
san-marcos,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
riverside,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
san-diego,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
petaluma,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
littleton,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
urbana,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
milwaukee,No problems,MegaPath,Down detector,Thu 21 Mar 2019,13:33:10
