Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
new-york,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
dallas,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
houston,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
san-marcos,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
kansas-city,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
los-angeles,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
brooklyn,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
saint-louis,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
phoenix,39%,9%,51%,No problems,Sprint,Down detector,Thu 21 Mar 2019,13:12:16
