Location,online viewing ,no signal ,bad signal ,Status,Provider,Source,Date collected,Time collected
denver,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
albuquerque,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
seattle,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
chicago,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
spokane,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
phoenix,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
portland,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
minneapolis,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
boise,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
kennewick,7%,85%,7%,No problems,DirecTV,Down detector,Thu 21 Mar 2019,13:12:11
