Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
dallas,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
chicago,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
los-angeles,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
houston,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
brooklyn,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
milwaukee,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
new-york,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
saint-louis,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
dayton,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
medford,7%,71%,20%,No problems,Bright-House-Networks,Down detector,Thu 21 Mar 2019,13:12:11
