Location,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
concord,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
lexington,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
atlanta,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
norcross,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
houston,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
grayson,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
dallas,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
blairsville,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
chicago,15%,84%,No problems,windstream,Down detector,Thu 21 Mar 2019,13:12:11
