Location,no tv ,limited channels ,Status,Provider,Source,Date collected,Time collected
denver,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
tucson,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
seattle,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
portland,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
albuquerque,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
dallas,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
phoenix,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
colorado-springs,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
irving,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
lincoln,62%,37%,No problems,Dish-Network,Down detector,Thu 21 Mar 2019,13:33:10
