Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
allentown,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
bethlehem,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
new-york,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
washington,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
easton,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
corona,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
northampton,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
whitehall,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
somerville,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:55:48
