Location,Bad signal ,mobile phone ,landline internet ,mobile internet ,Status,Provider,Source,Date collected,Time collected
naples,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
new-york,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
philadelphia,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
marco-island,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
charlotte,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
brooklyn,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
sumter,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
atlanta,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
tampa,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
indianapolis,,54%,9%,35%,No problems,Verizon-Wireless,Down detector,Thu 21 Mar 2019,19:12:30
