Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
sumter,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
burnsville,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
preston,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
madison,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
cedar-rapids,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
marion,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
bedford,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
monticello,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
waterloo,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
spruce-pine,44%,11%,44%,No problems,US-cellular,Down detector,Thu 21 Mar 2019,13:15:02
