Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",125, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Houston, TX",72, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Chicago, IL",55, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Miami, FL",48, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Brooklyn, NY",48, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Dallas, TX",44, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Seattle, WA",40, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Orlando, FL",38, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"New York City, NY",37, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Phoenix, AZ",34, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Austin, TX",34, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Denver, CO",31, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Detroit, MI",31, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"San Diego, CA",25, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"San Antonio, TX",24, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Atlanta, GA",23, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Salt Lake City, UT",22, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Las Vegas, NV",22, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Charlotte, NC",22, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Philadelphia, PA",20, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Tampa, FL",19, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Washington, D.C., DC",19, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Fort Lauderdale, FL",18, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"San Francisco, CA",17, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Portland, OR",17, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"San Jose, CA",16, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Mesa, AZ",16, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Manhattan, NY",15, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Minneapolis, MN",14, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Pompano Beach, FL",14, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Erie, PA",14, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Irvine, CA",14, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"The Bronx, NY",13, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"El Centro, CA",13, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Tacoma, WA",13, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Oklahoma City, OK",12, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Prosper, TX",12, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"West Valley City, UT",12, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Plano, TX",12, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Queens, NY",12, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Baltimore, MD",11, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Kansas City, MO",11, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Albuquerque, NM",11, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"El Paso, TX",10, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Pittsburgh, PA",10, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Sacramento, CA",9, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
"Honolulu, HI",9, Problems detected ,45.43%,.76%,Thu 21 Mar 2019 11:54:55,T-Mobile,Is the service down,7.77%,32.93%,2.74%,10.37%
