Location,total blackout ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
tampa,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
dallas,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
los-angeles,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
long-beach,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
carrollton,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
chicago,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
fort-wayne,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
plano,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
sarasota,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
portland,8%,8%,83%,No problems,Frontier,Down detector,Thu 21 Mar 2019,13:13:25
