Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Seattle, WA",52, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Los Angeles, CA",43, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Minneapolis, MN",35, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Las Vegas, NV",35, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Chicago, IL",33, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Dallas, TX",27, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Houston, TX",26, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Phoenix, AZ",25, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Albuquerque, NM",23, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Saint Paul, MN",20, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Boise, ID",19, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Denver, CO",19, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"San Antonio, TX",18, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Columbus, OH",18, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Spokane, WA",17, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
"Detroit, MI",17, Problems detected ,.67%,76.33%,Thu 21 Mar 2019 13:34:17,DirecTV,Is the service down,2.67%,7.00%,1.67%,11.67%
