Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:13:25
