Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:16
