Location,Bad signal ,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
chicago,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
new-york,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
dallas,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
houston,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
san-marcos,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
kansas-city,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
los-angeles,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
brooklyn,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
saint-louis,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
grand-junction,,37%,12%,50%,No problems,sprint,Down detector,Thu 21 Mar 2019,17:58:42
