Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
houston,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
brooklyn,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
phoenix,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
dayton,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
tampa,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
sumter,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
greenville,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
garland,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
tempe,66%,18%,15%,Possible problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:28:14
