Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"Los Angeles, CA",126, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Houston, TX",72, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Chicago, IL",55, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Brooklyn, NY",49, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Miami, FL",48, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Dallas, TX",44, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Seattle, WA",40, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Orlando, FL",39, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"New York City, NY",37, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Austin, TX",35, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Phoenix, AZ",34, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Denver, CO",31, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Detroit, MI",31, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"San Diego, CA",25, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Atlanta, GA",24, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"San Antonio, TX",24, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Salt Lake City, UT",22, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Las Vegas, NV",22, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Charlotte, NC",22, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Philadelphia, PA",20, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Tampa, FL",19, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Washington, D.C., DC",19, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Portland, OR",18, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Fort Lauderdale, FL",18, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"San Francisco, CA",17, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"San Jose, CA",16, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Mesa, AZ",16, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Erie, PA",15, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Manhattan, NY",15, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Minneapolis, MN",14, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Pompano Beach, FL",14, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"Irvine, CA",14, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"The Bronx, NY",13, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
"El Centro, CA",13, Problems detected ,45.22%,.75%,Thu 21 Mar 2019 19:12:30,T-Mobile,Is the service down,7.91%,32.69%,2.84%,10.60%
