Location,internet ,Status,Provider,Source,Date collected,Time collected
boise,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
houston,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
phoenix,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
meridian,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
idaho-falls,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
pocatello,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
rio-rancho,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
sioux-city,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
prescott,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
dallas,100%,No problems,Cable-ONE,Down detector,Thu 21 Mar 2019,13:12:11
