Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
sumter,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
houston,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
chicago,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
atlanta,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
los-angeles,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
phoenix,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
milwaukee,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
orlando,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
new-york,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:12:16
