Location,Bad signal ,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
allentown,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
bethlehem,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
new-york,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
washington,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
easton,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
corona,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
northampton,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
whitehall,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
somerville,,9%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,13:53:32
