Location,Bad signal ,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
sumter,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
houston,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
chicago,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
atlanta,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
los-angeles,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
phoenix,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
milwaukee,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
orlando,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
new-york,,29%,20%,50%,No problems,att,Down detector,Thu 21 Mar 2019,13:45:36
