Location,phone ,no signal ,mobile internet ,Status,Provider,Source,Date collected,Time collected
los-angeles,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
houston,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
new-york,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
el-centro,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
brooklyn,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
chicago,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
pompano-beach,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
salt-lake-city,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
dallas,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
seattle,25%,25%,50%,No problems,T-Mobile,Down detector,Thu 21 Mar 2019,13:10:49
