Location,Reports,Status,Phone,TV,Date/Time collected,Provider,Source,E-mail,Internet,Wi-fi,Total Blackout
"West Valley City, UT",32, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Tampa, FL",32, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Irvine, CA",31, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Bothell, WA",30, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Herriman, UT",29, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Lincoln, NE",27, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Tucson, AZ",26, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Mesa, AZ",26, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Whitewater, WI",25, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Salem, OR",25, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
"Oregon, WI",25, No problems detected ,8.95%,.85%,Thu 21 Mar 2019 19:12:30,CenturyLink,Is the service down,3.25%,75.11%,8.15%,3.70%
